a babucha	loc	0.2553	piggyback | piggybacking
a buen entendedor, pocas palabras bastan	saying	0.0005	a word to the wise is sufficient
a buen recaudo	loc	0.2391	safe and sound
a buen seguro	loc	0.1466	surely
a caballito	loc	0.3422	piggyback
a cada rato	loc	0.1546	all the time
a capela	loc	0.3810	a cappella
a continuación	loc	1.0489	next | following
a contralecho	loc	0.0004	bedded against the grain | contrary to the stratum
a corderetas	loc	0.2115	piggyback
a cuatro patas	loc	0.2563	on all fours
a destajo	loc	0.0006	at full blast | at full tilt | by the piece flat out
a escondidas	loc	0.3155	on the sly
a escuso	loc	0.2231	discreetly
a fuerza de	loc	0.1692	as a result of | by dint of
a gatas	loc	0.0961	crawling
a grandes rasgos	loc	0.0182	broadly
a granel	loc	0.0000	bulk cargo
a la deriva	loc	0.0760	adrift
a la tercera, va la vencida	loc	0.0546	third time lucky | third time's a charm
a lápiz	loc	0.0003	in pencil
a lo grande	loc	0.7242	big | in a big way | in style | with a bang
a lo mejor	loc	1.2998	maybe | possibly
a mano alzada	loc	0.0427	freehand
a mano limpia	loc	0.1274	unarmed
a menudo	adv	0.4330	often
a merced de	loc	0.0002	at somebody's mercy
a ojo de buen cubero	loc	0.6853	eyeball
a pelo	loc	0.1146	bareback
a perro flaco todo son pulgas	saying	0.1260	it never rains but it pours
a pesar de	loc	0.5538	despite | in spite of | regardless of
a pie	loc	0.3390	on foot
a posteriori	loc	0.0922	a posteriori
a primera vista	loc	0.3169	at first glance
a propósito	loc	0.8719	by the way | regarding to
a punto de	loc	0.1695	about to | narrowly
a quemarropa	loc	0.0006	at point-blank range
a recaudo	loc	0.2391	safe and sound
a regañadientes	loc	0.2063	reluctantly | grudgingly
a río revuelto, ganancia de pescadores	saying	0.0815	fish in troubled waters
a sabiendas	loc	0.0899	knowingly
a simple vista	loc	0.4640	at first glance | to the naked eye
a trancas y barrancas	loc	0.0182	after a fashion
a través	loc	0.1431	crosswise
a tutiplén	loc	0.1703	galore | aplenty
a veces	loc	1.3039	sometimes | occasionally | from time to time
aal	nm	0.2371	noni
Aarón	prop	0.4319	Aaron
ababa	nf	0.3154	red poppy
ababillarse	v	1.0086	be | sick | stifle | with the
ababol	nm	0.3340	red poppy
abacá	nm	0.4172	abaca | Manila hemp
abacería	nf	0.1046	grocery
abacero	nmf	0.6610	grocer
abacial	adj	0.2220	abbatial
ábaco	nm	0.8596	abacus | calculating frame | washing-trough
abacómite	nm	0.2538	abbot
abacora	nf	0.0794	albacore
abacteriano	adj	0.0482	abacterial
abad	nmf	0.0010	abbot
abada	nf	2.0756	rhinoceros
abadejo	nm	1.0536	cod | pollock | goldcrest | Spanish fly | oil beetle | black grouper
abadengo	adj	0.1046	abbatial
abadernar	v	0.3842	fasten
abadía	nf	1.4844	abbey | abbacy
abadiado	nm	1.3883	abbey
